drug_name,smiles,toxtype,canonical_smiles
BIA 10-2474,CN(C(=O)N1C=NC(C2=CC=C[N+]([O-])=C2)=C1)C1CCCCC1,Nervous system disorders,CN(C(=O)n1cnc(-c2ccc[n+]([O-])c2)c1)C1CCCCC1
Acomplia,CC1=C(C2=CC=C(Cl)C=C2)N(C2=CC=C(Cl)C=C2Cl)N=C1C(=O)NN1CCCCC1,Nervous system disorders,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
Rubraca,N(CC1=CC=C(/C2=C3/C4=C(C=C(F)C=C4N2)C(=O)NCC3)C=C1)C,,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
lanifibranor,O=C(O)CCC/C1=C/C2=CC(Cl)=CC=C2N1S(C1=C\C=C2\N=CS\C2=C\1)(=O)=O,Hepatobiliary disorders,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1
hydroxychloroquine,CCN(CCO)CCCC(C)N/C1=C/C=N\C2=CC(Cl)=CC=C12,Cardiac disorders,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
Nuplazid,CN1CCC(N(CC2=CC=C(F)C=C2)C(=O)NCC2=CC=C(OCC(C)C)C=C2)CC1,,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1
Atabecestat,C[C@@]1(C2=CC(NC(=O)C3=CC=C(C#N)C=N3)=CC=C2F)C=CSC(N)=N1,Hepatobiliary disorders,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=CSC(N)=N1
Finerenone,CCOC1=NC=C(C)C2=C1[C@H](C1=CC=C(C#N)C=C1OC)C(C(N)=O)=C(C)N2,Renal and urinary disorders;Cardiac disorders;Vascular disorders,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2
Iptacopan,CCO[C@H]1CCN(C/C2=C(OC)/C=C(/C)C3=C2C=CN3)[C@H](C2=CC=C(C(=O)O)C=C2)C1.Cl,,CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1
Aficamten,CCC1=NC(C2=CC=C3C(=C2)CC[C@H]3NC(=O)C2=CN(C)N=C2)=NO1,,CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cnn(C)c2)no1
Resmetirom,N#CC1=NN(C2=CC(Cl)=C(OC3=NNC(=O)C(C(C)C)=C3)C(Cl)=C2)C(=O)NC1=O,,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O
BAY2413555,C[C@H](NC(=O)/C1=C/N(C2=C(F)C=C(F)C=C2F)C2=NC(N3C[C@@H](O)[C@H](O)C3)=C(F)C=C2C1=O)C(C(F)(F)F)(F)F,,C[C@H](NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3C[C@@H](O)[C@H](O)C3)c(F)cc2c1=O)C(F)(F)C(F)(F)F
NVP-DFV890,N[S@@](=O)(=NC(=O)NC1=C2C(=CC3=C1CCC3)CCC2)C1=CN=C(C(O)(C)C)S1,,CC(C)(O)c1ncc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1
AZD4144,OC[C@@H](O)CN/C1=N/N=C(/C2=CC=C(C(F)(F)F)C=C2O)C2=CC=CC=C12,,OC[C@@H](O)CNc1nnc(-c2ccc(C(F)(F)F)cc2O)c2ccccc12
JT001,O=C(NC1=C2C(=CC3=C1CCC3)CCC2)NS(C1=C2N(N=C1)CCCO2)(=O)=O,Renal and urinary disorders,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2
sovleplenib,CS(N1CCC(C2=CC=C(C3=C/C4=NC=CN=C4/C(NC[C@@H]4CNCCO4)=N\3)C=C2)CC1)(=O)=O,,CS(=O)(=O)N1CCC(c2ccc(-c3cc4nccnc4c(NC[C@@H]4CNCCO4)n3)cc2)CC1
STX-478,C/C1=C(\[C@@H](NC(=O)NC2=CN=C(N)N=C2)C(F)(F)F)OC2=C(F)C=C(F)C=C12,Off-target side effects hyperglycemia and rash,Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12
inavolisib,C[C@H](NC1=CC=C2C(=C1)OCCN1C=C(N3C(=O)OC[C@H]3C(F)F)N=C21)C(N)=O,hyperglycemia and rash,C[C@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2)C(N)=O
alpelisib,CC1=C(C2=CC=NC(C(C(F)(F)F)(C)C)=C2)SC(NC(=O)N2CCC[C@H]2C(N)=O)=N1,hyperglycemia and rash,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1
Duvelisib,C[C@H](NC1=C2N=CNC2=NC=N1)C1=CC2=CC=CC(Cl)=C2C(=O)N1C1=CC=CC=C1,"common severe side effects include neutropenia (30%), diarrhea (15%), anemia (13%), and colitis (12%)",C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1
Idelalisib,[H][C@@](CC)(NC1=NC=NC2=C1N=CN2)C1=NC2=CC=CC(F)=C2C(=O)N1C1=CC=CC=C1,has a higher rate of severe or potentially fatal liver toxicity,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
Leniolisib,CCC(=O)N1CC[C@@H](C1)NC1=C2CN(CCC2=NC=N1)C1=CN=C(OC)C(=C1)C(F)(F)F,,CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1
Copanlisib,COC1=C(OCCCN2CCOCC2)C=CC2=C1N=C(NC(=O)C1=CN=C(N)N=C1)N1CCN=C21,increase blood pressure,COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21
Buparlisib,NC1=CC(=C(C=N1)C1=NC(=NC(=C1)N1CCOCC1)N1CCOCC1)C(F)(F)F,,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1
GDC-0941,CS(N1CCN(C/C2=C/C3=NC(/C4=C/C=C\C5=C4C=NN5)=NC(N4CCOCC4)=C3S2)CC1)(=O)=O,,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
pilaralisib,COC1=CC=C(Cl)C(NC2=C(NS(=O)(=O)C3=CC(NC(=O)C(C)(C)N)=CC=C3)N=C3C=CC=CC3=N2)=C1,,COc1ccc(Cl)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(NC(=O)C(C)(C)N)c2)c1
RLY-2608,N#C/C1=C(C2=CC(NC(=O)C3=CC(F)=CC(C(F)(F)F)=C3)=C3C(=C2)C(=O)N[C@H]3C2=CC(F)=CC=C2Cl)/C=C\C2=NC=NN12,without hyperglycemia,N#Cc1c(-c2cc(NC(=O)c3cc(F)cc(C(F)(F)F)c3)c3c(c2)C(=O)N[C@H]3c2cc(F)ccc2Cl)ccc2ncnn12
